name,current_percent_of_portfolio
CMS Energy Corp. (Consumers Power Co.),0.000339452
Broadridge Financial Solutions Inc,0.000336589
ABEONA THERAPEUTICS INC WT PUR,0.000335897
Baker Hughes Company,0.00033309699999999997
Syros Pharmaceuticals Inc,0.00033296300000000003
Solid Biosciences Inc,0.000332943
Ardelyx Inc,0.000332546
Ford Motor Co.,0.000331818
Molson Coors Brewing Co,0.000330627
Glaukos Corp,0.000327966
Vestis Corp,0.000327079
Varonis Systems Inc,0.000326935
RenaissanceRe Holdings Ltd,0.000323469
Visteon Corp.,0.000322076
Noble Corp Plc,0.00032148400000000003
Chesapeake Energy Corp,0.00031873400000000004
"Essex Property Trust, Inc.",0.000318655
Compass Therapeutics Inc,0.000317957
Vistra Energy Corp,0.000317858
Encompass Health Corp,0.000315926
ALLETE Inc. (Minnesota Power and Light - Duluth Edison Electric),0.000315423
Lamb Weston Holdings Inc,0.00031396
IPG Photonics Corp,0.00031369800000000006
"Quest Diagnostics, Inc.",0.000310606
Independent Bank Group Inc,0.000307861
"Tyson Foods, Inc.",0.000307207
Sleep Number Corp,0.000305934
CF Industries Holdings Inc,0.000304427
Knight Transportation Inc.,0.000302879
Apogee Therapeutics Inc.,0.000302602
Mattel Inc.,0.00030184900000000003
"HBT Financial, Inc.",0.000301671
Janux Therapeutics Inc,0.000300039
NewAmsterdam Pharma Company NV,0.000299559
Helix Acquisition Corp. II,0.00029949699999999997
"Avidity Biosciences, Inc.",0.000298714
Akamai Technologies Inc.,0.000296641
Kellogg Co.,0.000295426
Bunge Ltd. ADR,0.000293846
Packaging Corp. of America,0.00029272
Corpay Inc.,0.000292425
Jones Lang Lasalle Inc,0.00029222
Tecnoglass Inc,0.000290412
Patria Investments Ltd,0.00028821200000000004
Brixmor Property Group Inc,0.000288028
Nordson Corporation,0.000286642
Kimco Realty Corporation,0.000284149
"EPAM Systems, Inc.",0.000282161
Alpine Immune Sciences Inc,0.000280974
Burlington Stores Inc,0.00028084000000000003
Gracell Biotechnologies Inc. ADR,0.000279611
Amcor Ltd,0.000279208
Hewlett Packard Enterprise Co,0.000278876
NetApp Inc.,0.000277895
Elanco Animal Health Inc,0.000277815
ConAgra Brands Inc,0.000274479
Crane NXT Co,0.000268897
Verona Pharma PLC ADR,0.000267365
T. Rowe Price Group,0.000266885
Tyler Technologies Inc,0.00026653
Trimble Navigation Ltd.,0.000265176
FactSet Research Systems Inc,0.00026473
GlobalFoundries Inc,0.00026341
Tempur Sealy International Inc,0.00026287
Alliant Energy Corp,0.000262358
Western Digital Corp,0.000259219
AES Corp. (The),0.000258289
Gen Digital Inc,0.000257845
Weyerhaeuser Corp.,0.000257577
Clorox Co.,0.000257247
LKQ Corp,0.00025623
Aeva Technologies Inc,0.000254708
STERIS Corp.,0.000253917
IDACORP Inc. Holding Co.,0.000253535
Silk Road Medical Inc,0.000253123
Catalent Inc,0.000253104
Interpublic Group of Companies Inc (The),0.000250476
"Snowflake, Inc.",0.000246315
Genuine Parts Co.,0.000246288
"Rollins, Inc.",0.000245717
"MGM Resorts International, Inc.",0.000244625
Planet Fitness Inc,0.000244302
Endava PLC,0.000243312
Werewolf Therapeutics Inc,0.00024161599999999997
CEMEX S.A. de C.V. Series A (Sponsored ADR) ADR,0.00023981700000000002
Urban Outfitters Inc.,0.000235604
Lexington Realty Trust,0.00023534
"Teleflex, Inc.",0.00023458
Mosaic Company (The),0.00023404
"Best Buy Co., Inc.",0.000231249
CubeSmart,0.000229481
Dell Technologies Inc,0.000228832
MarketAxess Holdings Inc,0.000222623
Regency Centers Corp,0.000220594
Globus Medical Inc,0.00021986800000000002
Verastem Inc,0.0002183
VeriSign Inc.,0.00021770999999999997
Healthpeak Properties Inc.,0.00021707400000000002
HNI Corporation,0.000215732
WestRock Co,0.000214937
Rexford Industrial Realty Inc,0.000214102
Eastman Chemical Co.,0.00021335199999999999
Hillenbrand Inc.,0.000212177
AGNC Investment Corp,0.000210495
Dayforce Inc,0.000209774
Fulcrum Therapeutics Inc,0.000209767
Brown-Forman Corp. Class B,0.00020935700000000002
Smucker (J.M.) Co.,0.00020473100000000002
Veru Inc,0.00020381799999999998
OneMain Holdings Inc,0.000202993
Paycom Software Inc,0.000202991
"Smith (A.O.) Corp., Class B",0.000202878
Eldorado Resorts Inc,0.00020260899999999997
Williams Cos. (The),0.00020240700000000002
C.H. Robinson Worldwide Inc,0.00020192000000000002
Saul Centers Inc,0.000201506
Public Service Enterprise Group Inc,0.00020068200000000001
Mirion Technologies Inc.,0.000198933
Bath & Body Works Inc (L Brands),0.000196637
EXACT Sciences Corp,0.000195654
"Vaxcyte, Inc.",0.000194443
Etsy Inc,0.000194407
PVH Corp. (Phillips Jones - Phillips Van Heusen Corp.),0.00018894500000000001
Remitly Global Inc,0.000188386
Merus BV,0.000187212
"Robert Half International, Inc.",0.00018663300000000001
American Airlines Group Inc,0.000179939
Element Solutions Inc,0.00017901199999999999
Third Coast Bancshares Inc,0.00017749999999999998
Huntington Ingalls Industries Inc,0.000177114
"Shift4 Payments, Inc.",0.00017620899999999998
Cheniere Energy Inc,0.000176082
Wynn Resorts Ltd,0.000175361
Adient Plc,0.000173492
10X Genomics Inc,0.000173163
Pinterest Inc,0.000171925
Nuvei Corp,0.00017102800000000002
DoubleVerify Holdings Inc,0.000170719
Newpark Resource Inc,0.00016916299999999998
Confluent Inc,0.000168955
Kroger Co.,0.000166397
Atmos Energy Corp. (Energas),0.000165463
Metals Acquisition Limited,0.000165067
Bristow Group Inc,0.000163294
Five Star Bancorp,0.000162023
EnPro Industries Inc,0.00016167299999999998
Cummins Inc,0.00016144100000000002
"Regions Financial Corp.  (Birmingham, AL)",0.00016123800000000002
Invesco Ltd. ADR,0.000160707
SAP SE ADR,0.00015945500000000002
Generac Holdlings Inc,0.000159057
FMC Corp. (Food Machinery & Chemical Corp.),0.00015764299999999998
Merit Medical Systems Inc.,0.000156701
Ivanhoe Electric Inc,0.00015595799999999999
Carnival Corp.,0.000154709
Essa Pharma Inc,0.000154662
PepGen Inc,0.000154308
FORUM ENERGY TECHNOLOGIES IN NOTE 9.000% 8/0,0.000152494
Tapestry Inc,0.000150051
"AvalonBay Communities, Inc.",0.000149971
Hertz Global Holdings Inc,0.00014918
Solaris Oilfield Infrastructure Inc,0.000148279
ProQR Therapeutics N.V.,0.00014808699999999998
Smartsheet Inc,0.000147975
Fox Corp Class A,0.000146971
"Olema Pharmaceuticals, Inc.",0.000144715
NET Power Inc,0.000144422
Paramount Global,0.000143
American Water Works Co Inc,0.00014059
Terns Pharmaceuticals Inc,0.000140579
Vulcan Materials Company,0.000136268
Crescent Energy Company,0.00013625699999999998
Bio-Rad Laboratories Inc Class A,0.00013528500000000002
Immatics N.V.,0.000135007
Corebridge Financial Inc.,0.00013405
Atlas Energy Solutions Inc.,0.00013321400000000002
Akero Therapeutics Inc,0.000132466
Fate Therapeutics Inc,0.000131162
Five9 Inc,0.000121749
PACCAR Inc.,0.000120636
Larimar Therapeutics Inc,0.000119834
Block Inc.,0.000119676
CLARIVATE PLC,0.000119393
"Teledyne Technologies, Inc.",0.000118232
"Toll Brothers, Inc.",0.00011662699999999999
Manchester United Ltd Class A,0.000115182
"Teva Pharmaceutical Industries Ltd, ADR",0.00011350000000000001
SentinelOne Inc,0.000113214
Epsilon Energy Ltd,0.00011128499999999999
Check Point Software Technologies Ltd,0.00011031900000000001
"Annovis Bio, Inc.",0.000110078
Maplebear Inc.,0.000108939
Savers Value Village Inc,0.00010756200000000001
Lifezone Metals Ltd,0.000107204
Procore Technologies Inc,0.00010709700000000001
Veralto Corp,0.000106853
Algonquin Power & Utilities,0.000104302
"Henry (Jack) & Associates, Inc.",0.000103781
Hormel Foods Corp.,0.000103532
Cognex Corp,0.000103328
Principal Financial Group,0.00010240600000000001
Heron Therapeutics Inc,0.000102054
Teradyne Inc,0.00010191499999999999
NVR Inc,9.473620000000001e-05
